ID,Group,Statistic,Component,Unit,Test,Value
137,Exer,SD,Lean,g,Test 4,2221.77
138,Exer,SD,Lean,g,Post,1072.67
139,Exer,SEM,Lean,g,Pre,237.68
140,Exer,SEM,Lean,g,Test 1,236.08
141,Exer,SEM,Lean,g,Test 2,237.44
142,Exer,SEM,Lean,g,Test 3,513.05
143,Exer,SEM,Lean,g,Test 4,509.71
144,Exer,SEM,Lean,g,Post,246.09
145,FLY,Mean,Lean,g,Pre,8719.49
146,FLY,Mean,Lean,g,Test 1,9036.58
147,FLY,Mean,Lean,g,Test 2,8980.43
148,FLY,Mean,Lean,g,Test 3,8909.60
149,FLY,Mean,Lean,g,Test 4,8885.57
150,FLY,Mean,Lean,g,Post,8930.89
151,FLY,SD,Lean,g,Pre,1525.37
152,FLY,SD,Lean,g,Test 1,1607.35
153,FLY,SD,Lean,g,Test 2,1494.67
154,FLY,SD,Lean,g,Test 3,1620.50
155,FLY,SD,Lean,g,Test 4,1499.21
156,FLY,SD,Lean,g,Post,1690.72
157,FLY,SEM,Lean,g,Pre,539.30
158,FLY,SEM,Lean,g,Test 1,568.28
159,FLY,SEM,Lean,g,Test 2,528.45
160,FLY,SEM,Lean,g,Test 3,572.93
161,FLY,SEM,Lean,g,Test 4,530.05
162,FLY,SEM,Lean,g,Post,597.76
163,Ctrl,Mean,Total,kg,Pre,12.13
164,Ctrl,Mean,Total,kg,Test 1,12.35
165,Ctrl,Mean,Total,kg,Test 2,12.38
166,Ctrl,Mean,Total,kg,Test 3,12.37
167,Ctrl,Mean,Total,kg,Test 4,12.37
168,Ctrl,Mean,Total,kg,Post,12.47
169,Ctrl,SD,Total,kg,Pre,1.25
170,Ctrl,SD,Total,kg,Test 1,5.18
171,Ctrl,SD,Total,kg,Test 2,5.19
172,Ctrl,SD,Total,kg,Test 3,5.20
173,Ctrl,SD,Total,kg,Test 4,5.20
174,Ctrl,SD,Total,kg,Post,1.49
175,Ctrl,SEM,Total,kg,Pre,0.38
176,Ctrl,SEM,Total,kg,Test 1,1.56
177,Ctrl,SEM,Total,kg,Test 2,1.56
178,Ctrl,SEM,Total,kg,Test 3,1.57
179,Ctrl,SEM,Total,kg,Test 4,1.57
180,Ctrl,SEM,Total,kg,Post,0.45
181,Exer,Mean,Total,kg,Pre,11.72
182,Exer,Mean,Total,kg,Test 1,12.25
183,Exer,Mean,Total,kg,Test 2,12.27
184,Exer,Mean,Total,kg,Test 3,11.91
185,Exer,Mean,Total,kg,Test 4,11.95
186,Exer,Mean,Total,kg,Post,12.52
187,Exer,SD,Total,kg,Pre,1.72
188,Exer,SD,Total,kg,Test 1,1.84
189,Exer,SD,Total,kg,Test 2,1.87
190,Exer,SD,Total,kg,Test 3,3.35
191,Exer,SD,Total,kg,Test 4,3.36
192,Exer,SD,Total,kg,Post,1.90
193,Exer,SEM,Total,kg,Pre,0.39
194,Exer,SEM,Total,kg,Test 1,0.42
195,Exer,SEM,Total,kg,Test 2,0.43
196,Exer,SEM,Total,kg,Test 3,0.77
197,Exer,SEM,Total,kg,Test 4,0.77
198,Exer,SEM,Total,kg,Post,0.44
199,FLY,Mean,Total,kg,Pre,11.98
200,FLY,Mean,Total,kg,Test 1,12.36
201,FLY,Mean,Total,kg,Test 2,12.30
202,FLY,Mean,Total,kg,Test 3,12.27
203,FLY,Mean,Total,kg,Test 4,12.23
204,FLY,Mean,Total,kg,Post,12.28
205,FLY,SD,Total,kg,Pre,2.92
206,FLY,SD,Total,kg,Test 1,3.05
207,FLY,SD,Total,kg,Test 2,2.98
208,FLY,SD,Total,kg,Test 3,3.12
209,FLY,SD,Total,kg,Test 4,3.05
210,FLY,SD,Total,kg,Post,3.17
211,FLY,SEM,Total,kg,Pre,1.03
212,FLY,SEM,Total,kg,Test 1,1.08
213,FLY,SEM,Total,kg,Test 2,1.05
214,FLY,SEM,Total,kg,Test 3,1.10
215,FLY,SEM,Total,kg,Test 4,1.08
216,FLY,SEM,Total,kg,Post,1.12
217,Ctrl,Mean,Tissue,%,Pre,32.09
218,Ctrl,Mean,Tissue,%,Test 1,32.53
219,Ctrl,Mean,Tissue,%,Test 2,32.87
220,Ctrl,Mean,Tissue,%,Test 3,33.83
221,Ctrl,Mean,Tissue,%,Test 4,35.52
222,Ctrl,Mean,Tissue,%,Post,36.61
223,Ctrl,SD,Tissue,%,Pre,7.37
224,Ctrl,SD,Tissue,%,Test 1,14.40
225,Ctrl,SD,Tissue,%,Test 2,14.72
226,Ctrl,SD,Tissue,%,Test 3,14.75
227,Ctrl,SD,Tissue,%,Test 4,15.26
228,Ctrl,SD,Tissue,%,Post,5.96
229,Ctrl,SEM,Tissue,%,Pre,2.22
230,Ctrl,SEM,Tissue,%,Test 1,4.34
231,Ctrl,SEM,Tissue,%,Test 2,4.44
232,Ctrl,SEM,Tissue,%,Test 3,4.45
233,Ctrl,SEM,Tissue,%,Test 4,4.60
234,Ctrl,SEM,Tissue,%,Post,1.80
235,Exer,Mean,Tissue,%,Pre,27.65
236,Exer,Mean,Tissue,%,Test 1,26.87
237,Exer,Mean,Tissue,%,Test 2,27.13
238,Exer,Mean,Tissue,%,Test 3,26.29
239,Exer,Mean,Tissue,%,Test 4,26.89
240,Exer,Mean,Tissue,%,Post,28.00
241,Exer,SD,Tissue,%,Pre,7.97
242,Exer,SD,Tissue,%,Test 1,8.02
243,Exer,SD,Tissue,%,Test 2,8.33
244,Exer,SD,Tissue,%,Test 3,10.21
245,Exer,SD,Tissue,%,Test 4,10.30
246,Exer,SD,Tissue,%,Post,8.62
247,Exer,SEM,Tissue,%,Pre,1.83
248,Exer,SEM,Tissue,%,Test 1,1.84
249,Exer,SEM,Tissue,%,Test 2,1.91
250,Exer,SEM,Tissue,%,Test 3,2.34
251,Exer,SEM,Tissue,%,Test 4,2.36
252,Exer,SEM,Tissue,%,Post,1.98
253,FLY,Mean,Tissue,%,Pre,23.77
254,FLY,Mean,Tissue,%,Test 1,23.43
255,FLY,Mean,Tissue,%,Test 2,23.44
256,FLY,Mean,Tissue,%,Test 3,23.80
257,FLY,Mean,Tissue,%,Test 4,23.71
258,FLY,Mean,Tissue,%,Post,23.70
259,FLY,SD,Tissue,%,Pre,8.15
260,FLY,SD,Tissue,%,Test 1,8.64
261,FLY,SD,Tissue,%,Test 2,8.92
262,FLY,SD,Tissue,%,Test 3,9.09
263,FLY,SD,Tissue,%,Test 4,9.16
264,FLY,SD,Tissue,%,Post,9.52
265,FLY,SEM,Tissue,%,Pre,2.88
266,FLY,SEM,Tissue,%,Test 1,3.05
267,FLY,SEM,Tissue,%,Test 2,3.16
268,FLY,SEM,Tissue,%,Test 3,3.21
269,FLY,SEM,Tissue,%,Test 4,3.24
270,FLY,SEM,Tissue,%,Post,3.37
