ID,Group,Statistic,ROI,Unit,Test,Value
179,Ctrl,SEM,Femoral Right Total Hip,BMD g/cm²,Test 4,0.13
180,Ctrl,SEM,Femoral Right Total Hip,BMD g/cm²,Post,0.03
181,Exer,Mean,Femoral Right Total Hip,BMD g/cm²,Pre,1.09
182,Exer,Mean,Femoral Right Total Hip,BMD g/cm²,Test 1,1.10
183,Exer,Mean,Femoral Right Total Hip,BMD g/cm²,Test 2,1.10
184,Exer,Mean,Femoral Right Total Hip,BMD g/cm²,Test 3,1.04
185,Exer,Mean,Femoral Right Total Hip,BMD g/cm²,Test 4,1.03
186,Exer,Mean,Femoral Right Total Hip,BMD g/cm²,Post,1.09
187,Exer,SD,Femoral Right Total Hip,BMD g/cm²,Pre,0.11
188,Exer,SD,Femoral Right Total Hip,BMD g/cm²,Test 1,0.11
189,Exer,SD,Femoral Right Total Hip,BMD g/cm²,Test 2,0.11
190,Exer,SD,Femoral Right Total Hip,BMD g/cm²,Test 3,0.27
191,Exer,SD,Femoral Right Total Hip,BMD g/cm²,Test 4,0.28
192,Exer,SD,Femoral Right Total Hip,BMD g/cm²,Post,0.11
193,Exer,SEM,Femoral Right Total Hip,BMD g/cm²,Pre,0.03
194,Exer,SEM,Femoral Right Total Hip,BMD g/cm²,Test 1,0.03
195,Exer,SEM,Femoral Right Total Hip,BMD g/cm²,Test 2,0.03
196,Exer,SEM,Femoral Right Total Hip,BMD g/cm²,Test 3,0.06
197,Exer,SEM,Femoral Right Total Hip,BMD g/cm²,Test 4,0.06
198,Exer,SEM,Femoral Right Total Hip,BMD g/cm²,Post,0.03
199,FLY,Mean,Femoral Right Total Hip,BMD g/cm²,Pre,1.12
200,FLY,Mean,Femoral Right Total Hip,BMD g/cm²,Test 1,1.13
201,FLY,Mean,Femoral Right Total Hip,BMD g/cm²,Test 2,1.13
202,FLY,Mean,Femoral Right Total Hip,BMD g/cm²,Test 3,1.13
203,FLY,Mean,Femoral Right Total Hip,BMD g/cm²,Test 4,1.12
204,FLY,Mean,Femoral Right Total Hip,BMD g/cm²,Post,1.12
205,FLY,SD,Femoral Right Total Hip,BMD g/cm²,Pre,0.18
206,FLY,SD,Femoral Right Total Hip,BMD g/cm²,Test 1,0.17
207,FLY,SD,Femoral Right Total Hip,BMD g/cm²,Test 2,0.18
208,FLY,SD,Femoral Right Total Hip,BMD g/cm²,Test 3,0.18
209,FLY,SD,Femoral Right Total Hip,BMD g/cm²,Test 4,0.17
210,FLY,SD,Femoral Right Total Hip,BMD g/cm²,Post,0.18
211,FLY,SEM,Femoral Right Total Hip,BMD g/cm²,Pre,0.06
212,FLY,SEM,Femoral Right Total Hip,BMD g/cm²,Test 1,0.06
213,FLY,SEM,Femoral Right Total Hip,BMD g/cm²,Test 2,0.06
214,FLY,SEM,Femoral Right Total Hip,BMD g/cm²,Test 3,0.06
215,FLY,SEM,Femoral Right Total Hip,BMD g/cm²,Test 4,0.06
216,FLY,SEM,Femoral Right Total Hip,BMD g/cm²,Post,0.06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
