ID,Group,Statistic,Ratio Type,Test,Value
200,FLY,Mean,Android/Gynoid,Test 1,0.91
201,FLY,Mean,Android/Gynoid,Test 2,0.94
202,FLY,Mean,Android/Gynoid,Test 3,0.92
203,FLY,Mean,Android/Gynoid,Test 4,0.92
204,FLY,Mean,Android/Gynoid,Post,0.92
205,FLY,SD,Android/Gynoid,Pre,0.23
206,FLY,SD,Android/Gynoid,Test 1,0.19
207,FLY,SD,Android/Gynoid,Test 2,0.19
208,FLY,SD,Android/Gynoid,Test 3,0.18
209,FLY,SD,Android/Gynoid,Test 4,0.18
210,FLY,SD,Android/Gynoid,Post,0.20
211,FLY,SEM,Android/Gynoid,Pre,0.08
212,FLY,SEM,Android/Gynoid,Test 1,0.07
213,FLY,SEM,Android/Gynoid,Test 2,0.07
214,FLY,SEM,Android/Gynoid,Test 3,0.07
215,FLY,SEM,Android/Gynoid,Test 4,0.06
216,FLY,SEM,Android/Gynoid,Post,0.07
217,Ctrl,Mean,BMI,Pre,25.45
218,Ctrl,Mean,BMI,Test 1,25.14
219,Ctrl,Mean,BMI,Test 2,25.12
220,Ctrl,Mean,BMI,Test 3,25.12
221,Ctrl,Mean,BMI,Test 4,25.14
222,Ctrl,Mean,BMI,Post,13.86
223,Ctrl,SD,BMI,Pre,1.89
224,Ctrl,SD,BMI,Test 1,10.29
225,Ctrl,SD,BMI,Test 2,10.29
226,Ctrl,SD,BMI,Test 3,10.29
227,Ctrl,SD,BMI,Test 4,10.29
228,Ctrl,SD,BMI,Post,13.35
229,Ctrl,SEM,BMI,Pre,0.57
230,Ctrl,SEM,BMI,Test 1,3.10
231,Ctrl,SEM,BMI,Test 2,3.10
232,Ctrl,SEM,BMI,Test 3,3.10
233,Ctrl,SEM,BMI,Test 4,3.10
234,Ctrl,SEM,BMI,Post,4.03
235,Exer,Mean,BMI,Pre,23.82
236,Exer,Mean,BMI,Test 1,23.82
237,Exer,Mean,BMI,Test 2,23.82
238,Exer,Mean,BMI,Test 3,22.63
239,Exer,Mean,BMI,Test 4,22.63
240,Exer,Mean,BMI,Post,11.18
241,Exer,SD,BMI,Pre,2.96
242,Exer,SD,BMI,Test 1,2.96
243,Exer,SD,BMI,Test 2,2.96
244,Exer,SD,BMI,Test 3,6.22
245,Exer,SD,BMI,Test 4,6.22
246,Exer,SD,BMI,Post,12.23
247,Exer,SEM,BMI,Pre,0.68
248,Exer,SEM,BMI,Test 1,0.68
249,Exer,SEM,BMI,Test 2,0.68
250,Exer,SEM,BMI,Test 3,1.43
251,Exer,SEM,BMI,Test 4,1.43
252,Exer,SEM,BMI,Post,2.80
253,FLY,Mean,BMI,Pre,24.14
254,FLY,Mean,BMI,Test 1,24.14
255,FLY,Mean,BMI,Test 2,24.14
256,FLY,Mean,BMI,Test 3,24.14
257,FLY,Mean,BMI,Test 4,24.14
258,FLY,Mean,BMI,Post,0.00
259,FLY,SD,BMI,Pre,2.94
260,FLY,SD,BMI,Test 1,2.94
261,FLY,SD,BMI,Test 2,2.94
262,FLY,SD,BMI,Test 3,2.94
263,FLY,SD,BMI,Test 4,2.94
264,FLY,SD,BMI,Post,0.00
265,FLY,SEM,BMI,Pre,1.04
266,FLY,SEM,BMI,Test 1,1.04
267,FLY,SEM,BMI,Test 2,1.04
268,FLY,SEM,BMI,Test 3,1.04
269,FLY,SEM,BMI,Test 4,1.04
270,FLY,SEM,BMI,Post,0.00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
