ID,Group,Statistic,Component,Unit,Test,Value
54,FLY,SEM,Tissue,g,Post,578.93
55,Ctrl,Mean,Fat,g,Pre,1860.75
56,Ctrl,Mean,Fat,g,Test 1,1884.55
57,Ctrl,Mean,Fat,g,Test 2,1831.68
58,Ctrl,Mean,Fat,g,Test 3,1851.00
59,Ctrl,Mean,Fat,g,Test 4,1885.50
60,Ctrl,Mean,Fat,g,Post,1976.83
61,Ctrl,SD,Fat,g,Pre,463.80
62,Ctrl,SD,Fat,g,Test 1,812.17
63,Ctrl,SD,Fat,g,Test 2,786.97
64,Ctrl,SD,Fat,g,Test 3,805.18
65,Ctrl,SD,Fat,g,Test 4,810.01
66,Ctrl,SD,Fat,g,Post,430.26
